ACADEMIC_YEAR,SEMESTER,PROGRAM,TOTAL_ENROLLMENT
2018,2,AB COMM,20
2018,2,AB ENGLISH,41
2018,2,AB POLSCI,31
2018,2,ACT,2
2018,2,BEED,59
2018,2,BS CRIM,557
2018,2,BSBA-HRDM,131
2018,2,BSBA-HRM,96
2018,2,BSBA-MM,299
2018,2,BSCS,105
2018,2,BSED-ENGL,117
2018,2,BSED-FIL,108
2018,2,BSED-MAPEH,29
2018,2,BSED-MATH,35
2018,2,BSED-SOCSTUD,53
2018,2,BSOA,88
2018,2,DPE,21
2018,2,GEN  MID,92
2018,2,GRADE 11,247
2018,2,GRADE 12,86
2018,3,AB ENGLISH,3
2018,3,BEED,34
2018,3,BS CRIM,422
2018,3,BSBA-HRDM,55
2018,3,BSBA-HRM,38
2018,3,BSBA-MM,44
2018,3,BSCS,29
2018,3,BSED-ENGL,18
2018,3,BSED-FIL,25
2018,3,BSED-MAPEH,26
2018,3,BSED-MATH,12
2018,3,BSED-SOCSTUD,15
2018,3,BSOA,10
2018,3,GEN  MID,60
2019,2,AB COMM,36
2019,2,AB ENGLISH,54
2019,2,AB POLSCI,60
2019,2,BEED,73
2019,2,BS CRIM,796
2019,2,BSBA-HRDM,47
2019,2,BSBA-HRM,261
2019,2,BSBA-MM,372
2019,2,BSCS,160
2019,2,BSED-ENGL,146
2019,2,BSED-FIL,99
2019,2,BSED-MAPEH,4
2019,2,BSED-MATH,40
2019,2,BSED-SOCSTUD,67
2019,2,BSOA,135
2019,2,GEN  MID,167
2019,2,GRADE 11,100
2019,2,GRADE 12,226
2019,3,BS CRIM,4
2019,3,BSBA-MM,1
2020,2,AB COMM,48
2020,2,AB ENGLISH,64
2020,2,AB POLSCI,65
2020,2,BEED,91
2020,2,BS CRIM,1099
2020,2,BSBA-HRDM,11
2020,2,BSBA-HRM,349
2020,2,BSBA-MM,445
2020,2,BSCS,158
2020,2,BSED-ENGL,215
2020,2,BSED-FIL,104
2020,2,BSED-MATH,54
2020,2,BSED-SOCSTUD,81
2020,2,BSISM,200
2020,2,BSOA,205
2020,2,GEN  MID,174
2020,2,GRADE 11,64
2020,2,GRADE 12,96
2020,3,AB POLSCI,1
2020,3,BEED,53
2020,3,BS CRIM,979
2020,3,BSBA-MM,3
2020,3,BSCS,49
2020,3,BSED-ENGL,122
2020,3,BSED-FIL,70
2020,3,BSED-MATH,31
2020,3,BSED-SOCSTUD,47
2020,3,GEN  MID,149
2021,2,AB COMM,59
2021,2,AB ENGLISH,145
2021,2,AB POLSCI,80
2021,2,BEED,112
