ACADEMIC_YEAR,SEMESTER,PROGRAM,TOTAL_ENROLLMENT,TIME_INDEX,PROGRAM_TIME_INDEX
2018,2,AB COMM,20,1,1
2018,2,AB ENGLISH,41,1,1
2018,2,AB POLSCI,31,1,1
2018,2,BEED,59,1,1
2018,2,BS CRIM,557,1,1
2018,2,BSBA-HRDM,131,1,1
2018,2,BSBA-HRM,96,1,1
2018,2,BSBA-MM,299,1,1
2018,2,BSCS,105,1,1
2018,2,BSED-ENGL,117,1,1
2018,2,BSED-FIL,108,1,1
2018,2,BSED-MATH,35,1,1
2018,2,BSED-SOCSTUD,53,1,1
2018,2,BSOA,88,1,1
2018,2,GEN  MID,92,1,1
2019,2,AB COMM,36,2,2
2019,2,AB ENGLISH,54,2,2
2019,2,AB POLSCI,60,2,2
2019,2,BEED,73,2,2
2019,2,BS CRIM,796,2,2
2019,2,BSBA-HRDM,47,2,2
2019,2,BSBA-HRM,261,2,2
2019,2,BSBA-MM,372,2,2
2019,2,BSCS,160,2,2
2019,2,BSED-ENGL,146,2,2
2019,2,BSED-FIL,99,2,2
2019,2,BSED-MATH,40,2,2
2019,2,BSED-SOCSTUD,67,2,2
2019,2,BSOA,135,2,2
2019,2,GEN  MID,167,2,2
2020,2,AB COMM,48,3,3
2020,2,AB ENGLISH,64,3,3
2020,2,AB POLSCI,65,3,3
2020,2,BEED,91,3,3
2020,2,BS CRIM,1099,3,3
2020,2,BSBA-HRDM,11,3,3
2020,2,BSBA-HRM,349,3,3
2020,2,BSBA-MM,445,3,3
2020,2,BSCS,158,3,3
2020,2,BSED-ENGL,215,3,3
2020,2,BSED-FIL,104,3,3
2020,2,BSED-MATH,54,3,3
2020,2,BSED-SOCSTUD,81,3,3
2020,2,BSISM,200,3,1
2020,2,BSOA,205,3,3
2020,2,GEN  MID,174,3,3
2021,2,AB COMM,59,4,4
2021,2,AB ENGLISH,145,4,4
2021,2,AB POLSCI,80,4,4
2021,2,BEED,112,4,4
2021,2,BS CRIM,1138,4,4
2021,2,BSBA-HRDM,2,4,4
2021,2,BSBA-HRM,556,4,4
2021,2,BSBA-MM,639,4,4
2021,2,BSCS,178,4,4
2021,2,BSED-ENGL,235,4,4
2021,2,BSED-FIL,132,4,4
2021,2,BSED-MATH,71,4,4
2021,2,BSED-SOCSTUD,108,4,4
2021,2,BSISM,762,4,2
2021,2,BSOA,325,4,4
2021,2,GEN  MID,201,4,4
2022,1,AB COMM,92,5,5
2022,1,AB ENGLISH,166,5,5
2022,1,AB POLSCI,104,5,5
2022,1,BEED,120,5,5
2022,1,BS CRIM,1050,5,5
2022,1,BSBA-HRDM,1,5,5
2022,1,BSBA-HRM,664,5,5
2022,1,BSBA-MM,845,5,5
2022,1,BSCS,176,5,5
2022,1,BSED-ENGL,209,5,5
2022,1,BSED-FIL,154,5,5
2022,1,BSED-MATH,100,5,5
