PROGRAM,ACADEMIC_YEAR,SEMESTER,PREDICTED_ENROLLMENT
AB COMM,2026,1,315.11
AB ENGLISH,2026,1,320.73
AB POLSCI,2026,1,192.14
BEED,2026,1,207.3
BS CRIM,2026,1,455.8
BSBA-HRDM,2026,1,0.0
BSBA-HRM,2026,1,926.68
BSBA-MM,2026,1,1167.91
BSCS,2026,1,306.82
BSED-ENGL,2026,1,207.52
BSED-FIL,2026,1,152.54
BSED-MATH,2026,1,106.63
BSED-SOCSTUD,2026,1,67.81
BSISM,2026,1,1507.45
BSM,2026,1,862.62
BSOA,2026,1,456.39
GEN  MID,2026,1,0.0
AB COMM,2026,2,294.18
AB ENGLISH,2026,2,303.3
AB POLSCI,2026,2,184.0
BEED,2026,2,194.16
BS CRIM,2026,2,421.95
BSBA-HRDM,2026,2,0.0
BSBA-HRM,2026,2,858.4
BSBA-MM,2026,2,1085.99
BSCS,2026,2,273.07
BSED-ENGL,2026,2,207.77
BSED-FIL,2026,2,146.0
BSED-MATH,2026,2,106.32
BSED-SOCSTUD,2026,2,63.97
BSISM,2026,2,1453.23
BSM,2026,2,711.24
BSOA,2026,2,468.05
GEN  MID,2026,2,0.0
