ACADEMIC_YEAR,SEMESTER,PROGRAM,TOTAL_ENROLLMENT
2018,2,AB COMM,20
2019,2,AB COMM,36
2020,2,AB COMM,48
2021,2,AB COMM,59
2022,1,AB COMM,92
2022,2,AB COMM,81
2023,1,AB COMM,173
2023,2,AB COMM,157
2024,1,AB COMM,279
2024,2,AB COMM,253
2025,1,AB COMM,304
2025,2,AB COMM,291
2018,2,AB ENGLISH,41
2019,2,AB ENGLISH,54
2020,2,AB ENGLISH,64
2021,2,AB ENGLISH,145
2022,1,AB ENGLISH,166
2022,2,AB ENGLISH,151
2023,1,AB ENGLISH,227
2023,2,AB ENGLISH,219
2024,1,AB ENGLISH,290
2024,2,AB ENGLISH,265
2025,1,AB ENGLISH,328
2025,2,AB ENGLISH,299
2018,2,AB POLSCI,31
2019,2,AB POLSCI,60
2020,2,AB POLSCI,65
2021,2,AB POLSCI,80
2022,1,AB POLSCI,104
2022,2,AB POLSCI,99
2023,1,AB POLSCI,156
2023,2,AB POLSCI,142
2024,1,AB POLSCI,171
2024,2,AB POLSCI,160
2025,1,AB POLSCI,191
2025,2,AB POLSCI,182
2018,2,BEED,59
2019,2,BEED,73
2020,2,BEED,91
2021,2,BEED,112
2022,1,BEED,120
2022,2,BEED,92
2023,1,BEED,143
2023,2,BEED,136
2024,1,BEED,193
2024,2,BEED,170
2025,1,BEED,203
2025,2,BEED,192
2018,2,BS CRIM,557
2019,2,BS CRIM,796
2020,2,BS CRIM,1099
2021,2,BS CRIM,1138
2022,1,BS CRIM,1050
2022,2,BS CRIM,1018
2023,1,BS CRIM,1052
2023,2,BS CRIM,850
2024,1,BS CRIM,822
2024,2,BS CRIM,641
2025,1,BS CRIM,595
2025,2,BS CRIM,506
2018,2,BSBA-HRDM,131
2019,2,BSBA-HRDM,47
2020,2,BSBA-HRDM,11
2021,2,BSBA-HRDM,2
2022,1,BSBA-HRDM,1
2022,2,BSBA-HRDM,1
2023,1,BSBA-HRDM,1
2023,2,BSBA-HRDM,1
2018,2,BSBA-HRM,96
2019,2,BSBA-HRM,261
2020,2,BSBA-HRM,349
2021,2,BSBA-HRM,556
2022,1,BSBA-HRM,664
2022,2,BSBA-HRM,591
2023,1,BSBA-HRM,791
2023,2,BSBA-HRM,698
2024,1,BSBA-HRM,892
2024,2,BSBA-HRM,796
2025,1,BSBA-HRM,958
2025,2,BSBA-HRM,845
2018,2,BSBA-MM,299
2019,2,BSBA-MM,372
2020,2,BSBA-MM,445
2021,2,BSBA-MM,639
2022,1,BSBA-MM,845
2022,2,BSBA-MM,732
2023,1,BSBA-MM,890
2023,2,BSBA-MM,839
2024,1,BSBA-MM,1042
2024,2,BSBA-MM,949
2025,1,BSBA-MM,1170
2025,2,BSBA-MM,1077
2018,2,BSCS,105
2019,2,BSCS,160
2020,2,BSCS,158
2021,2,BSCS,178
2022,1,BSCS,176
2022,2,BSCS,153
2023,1,BSCS,207
2023,2,BSCS,169
2024,1,BSCS,247
2024,2,BSCS,219
2025,1,BSCS,305
2025,2,BSCS,268
2018,2,BSED-ENGL,117
2019,2,BSED-ENGL,146
2020,2,BSED-ENGL,215
2021,2,BSED-ENGL,235
2022,1,BSED-ENGL,209
2022,2,BSED-ENGL,194
2023,1,BSED-ENGL,257
2023,2,BSED-ENGL,249
2024,1,BSED-ENGL,250
2024,2,BSED-ENGL,237
2025,1,BSED-ENGL,219
2025,2,BSED-ENGL,209
2018,2,BSED-FIL,108
2019,2,BSED-FIL,99
2020,2,BSED-FIL,104
2021,2,BSED-FIL,132
2022,1,BSED-FIL,154
2022,2,BSED-FIL,136
2023,1,BSED-FIL,159
2023,2,BSED-FIL,146
2024,1,BSED-FIL,150
2024,2,BSED-FIL,142
2025,1,BSED-FIL,154
2025,2,BSED-FIL,146
2018,2,BSED-MATH,35
2019,2,BSED-MATH,40
2020,2,BSED-MATH,54
2021,2,BSED-MATH,71
2022,1,BSED-MATH,100
2022,2,BSED-MATH,96
2023,1,BSED-MATH,108
2023,2,BSED-MATH,106
2024,1,BSED-MATH,115
2024,2,BSED-MATH,108
2025,1,BSED-MATH,111
2025,2,BSED-MATH,107
2018,2,BSED-SOCSTUD,53
2019,2,BSED-SOCSTUD,67
2020,2,BSED-SOCSTUD,81
2021,2,BSED-SOCSTUD,108
2022,1,BSED-SOCSTUD,127
2022,2,BSED-SOCSTUD,119
2023,1,BSED-SOCSTUD,108
2023,2,BSED-SOCSTUD,105
2024,1,BSED-SOCSTUD,96
2024,2,BSED-SOCSTUD,85
2025,1,BSED-SOCSTUD,86
2025,2,BSED-SOCSTUD,80
2020,2,BSISM,200
2021,2,BSISM,762
2022,1,BSISM,872
2022,2,BSISM,758
2023,1,BSISM,1467
2023,2,BSISM,1274
2024,1,BSISM,1811
2024,2,BSISM,1552
2025,1,BSISM,1612
2025,2,BSISM,1422
2023,1,BSM,179
2023,2,BSM,160
2024,1,BSM,335
2024,2,BSM,324
2025,1,BSM,829
2025,2,BSM,711
2018,2,BSOA,88
2019,2,BSOA,135
2020,2,BSOA,205
2021,2,BSOA,325
2022,1,BSOA,376
2022,2,BSOA,329
2023,1,BSOA,410
2023,2,BSOA,386
2024,1,BSOA,432
2024,2,BSOA,418
2025,1,BSOA,477
2025,2,BSOA,444
2018,2,GEN  MID,92
2019,2,GEN  MID,167
2020,2,GEN  MID,174
2021,2,GEN  MID,201
2022,1,GEN  MID,293
2022,2,GEN  MID,185
2023,1,GEN  MID,131
2023,2,GEN  MID,121
2024,1,GEN  MID,14
2024,2,GEN  MID,9
2025,1,GEN  MID,3
2025,2,GEN  MID,1
